Filename,Time (s),Memory (KB)
product_selfadjoint.cpp,7.86,349476
geo_orthomethods.cpp,10.37,417140
ref.cpp,23.42,570576
product_selfadjoint.cpp,7.78,311224
jacobisvd.cpp,118.60,1693552
inverse.cpp,24.91,660468
product_selfadjoint.cpp,8.12,316016
ctorleak.cpp,2.44,130800
upperbidiagonalization.cpp,49.13,1018404
product_symm.cpp,15.64,428904
product_symm.cpp,20.34,490152
product_trmm.cpp,29.57,663244
product_symm.cpp,8.22,313204
diagonalmatrices.cpp,2.93,164516
mixingtypes.cpp,194.89,2442356
product_symm.cpp,10.76,335388
qr_fullpivoting.cpp,35.18,712560
product_small.cpp,35.68,813744
product_syrk.cpp,12.63,378268
product_syrk.cpp,13.42,410492
schur_real.cpp,30.97,721860
product_trmv.cpp,19.12,443088
miscmatrices.cpp,2.62,148004
product_trmv.cpp,10.21,349812
geo_homogeneous.cpp,47.05,1008848
determinant.cpp,4.63,266992
product_trmm.cpp,20.29,508952
product_extra.cpp,37.77,869248
adjoint.cpp,12.09,401508
product_trmm.cpp,109.86,1562712
product_trmm.cpp,76.26,1212444
product_trmm.cpp,77.19,1220828
nomalloc.cpp,4.16,201972
array_for_matrix.cpp,20.18,702684
product_trmm.cpp,19.52,508704
jacobi.cpp,3.33,201648
product_trmm.cpp,80.09,1219768
product_trmm.cpp,79.89,1220368
product_small.cpp,104.90,1822364
product_trmm.cpp,21.58,507136
lscg.cpp,49.57,1008320
product_trmm.cpp,115.02,1600272
product_trsolve.cpp,9.09,372988
product_trmm.cpp,30.52,693848
product_trmm.cpp,110.84,1595944
qr.cpp,21.77,543544
product_trmm.cpp,30.42,697324
jacobisvd.cpp,7.36,325516
first_aligned.cpp,1.61,106148
product_trmm.cpp,102.99,1476376
packetmath.cpp,3.81,185268
nullary.cpp,5.94,285592
product_trmm.cpp,28.04,654596
permutationmatrices.cpp,8.02,315220
product_trsolve.cpp,10.97,363688
integer_types.cpp,16.10,446376
product_trsolve.cpp,13.10,395904
mapstride.cpp,21.03,579708
product_trsolve.cpp,16.68,542188
